time,tetramm_4_current_1,mono_energy,mono_energy_setpoint,ring_current,offset
1743528405.492733,154131.5733836066,21.049909653689323,21.049999999999997,119.99944344018347,645868.4266163934
1743528406.765493,144769.6649564794,21.05103837246765,21.051,119.98199460908604,655230.3350435207
1743528408.0469666,138475.01194747703,21.052122651043806,21.052,119.96472996427954,661524.988052523
1743528409.3398182,137203.26458520547,21.052494005114085,21.052999999999997,119.93046367251765,662796.7354147945
1743528410.6140337,134932.38991313925,21.05448468725265,21.054,119.91326495765783,665067.6100868607
1743528411.8927703,135632.81350463093,21.055012132822803,21.055,119.89553448772972,664367.1864953691
1743528413.1739936,137257.78143761103,21.055836784017206,21.055999999999997,119.87779969740679,662742.218562389
1743528414.448103,140279.7901866697,21.057144472075397,21.057,119.8423509203554,659720.2098133303
1743528415.7228482,141727.97551451164,21.057887549341824,21.058,119.82558150728882,658272.0244854884
1743528417.0023398,142335.1220171585,21.059017127680256,21.058999999999997,119.8077564250453,657664.8779828416
1743528418.283551,141225.39421653067,21.059998176047483,21.06,119.79028467301043,658774.6057834693
1743528419.5631757,138983.9692513361,21.061120548514275,21.061,119.75566221498639,661016.0307486639
1743528420.8434563,136963.09505809195,21.0619159447962,21.061999999999998,119.73816109942561,663036.9049419081
1743528422.1222918,134104.25011179873,21.06301621855742,21.063,120.17778098831816,665895.7498882012
1743528423.4011736,131409.16509982778,21.063997641226266,21.064,120.1428467568609,668590.8349001722
1743528424.6805496,129345.63186114095,21.06491966741891,21.064999999999998,120.12472638887384,670654.368138859
1743528425.9574797,127415.2258374549,21.0660351300502,21.066,120.10766457110955,672584.7741625451
1743528427.228259,126234.30307369429,21.066897835852537,21.067,120.09000574895737,673765.6969263058
1743528428.5002532,124829.47093920321,21.0681399593698,21.067999999999998,120.05432765423504,675170.5290607968
1743528429.771793,123988.91482303075,21.06905491090063,21.069,120.03768437658559,676011.0851769693
1743528431.0438187,123033.60422370328,21.069888106934314,21.07,120.02016101447168,676966.3957762967
1743528432.3159018,120969.56111022741,21.071033859565336,21.070999999999998,120.00232156780308,679030.4388897726
1743528433.591982,119559.46265262866,21.071919299600694,21.072,119.96755364412029,680440.5373473713
1743528434.867977,117399.61672468507,21.073057832339856,21.073,119.95031980384731,682600.3832753149
1743528436.1449983,115137.23600451525,21.07400298279357,21.073999999999998,119.93301143322707,684862.7639954848
1743528437.4187343,112580.94104749372,21.07506730925273,21.075,119.89758129746535,687419.0589525063
1743528438.6923184,110455.77049030672,21.07599030912597,21.076,119.87942224706633,689544.2295096933
1743528439.9722877,108029.96099682736,21.076995280355796,21.076999999999998,119.86241419979702,691970.0390031727
1743528441.245688,105849.75253910937,21.077955676145056,21.078,119.84531866034524,694150.2474608907
1743528442.5219672,103442.77064506791,21.078901267958503,21.079,119.810045468932,696557.2293549321
1743528443.7962408,101035.15466787895,21.08007034571458,21.08,119.7929542907144,698964.845332121
1743528445.0686288,99158.73819855823,21.081008680680583,21.081,119.7756796067373,700841.2618014418
1743528446.344011,97349.4202360277,21.081880066854293,21.082,119.7583117497857,702650.5797639723
1743528447.6176507,95078.88332762857,21.083198455272377,21.083,119.72289237981325,704921.1166723714
1743528448.8934565,94544.9904692435,21.083682650791946,21.084,119.70569078700723,705455.0095307565
1743528450.1674414,93289.60449408548,21.085239677017743,21.085,119.68810866059347,706710.3955059145
1743528451.4418888,92849.38908175411,21.085977296382456,21.086,120.25440117114351,707150.6109182459
1743528452.717014,93994.80851011806,21.08708754850323,21.087,120.23692869362714,706005.191489882
1743528453.9930243,94477.88504680905,21.08784020229577,21.088,120.21930139437096,705522.1149531909
1743528455.2668533,95462.52305241369,21.089129526759937,21.089,120.2022431760048,704537.4769475863
1743528456.5454051,96013.0218047064,21.09001649505809,21.09,120.16721004994113,703986.9781952936
1743528457.8170218,96714.5885741381,21.091030264879763,21.090999999999998,120.14908756134925,703285.4114258619
1743528459.0924518,97097.44790418154,21.092006856317305,21.092,120.13228802046761,702902.5520958184
1743528460.3688118,97116.84192572902,21.092834420924152,21.093,120.09652319241607,702883.1580742709
1743528461.642616,96861.10129780152,21.0940945319424,21.093999999999998,120.07953518544103,703138.8987021985
1743528462.9203918,96395.85436146705,21.095108695601585,21.095,120.06120410839387,703604.1456385329
1743528464.1965125,95783.7226775393,21.09592904668613,21.096,120.0439273009219,704216.2773224607
1743528465.4715445,94725.09654844139,21.0969732225766,21.096999999999998,120.00900383421215,705274.9034515587
1743528466.746674,93595.23832436548,21.097965285844253,21.098,119.9917313079681,706404.7616756345
1743528468.0221748,92239.07190999381,21.09900220400252,21.099,119.97349628563241,707760.9280900062
1743528469.3002114,90507.42689739152,21.100166061419046,21.099999999999998,119.95678919987523,709492.5731026084
1743528470.5759933,89614.95230845067,21.10085996085697,21.101,119.92189297912029,710385.0476915493
1743528471.853615,88106.07072138786,21.10197925009968,21.102,119.90442050560873,711893.9292786121
1743528473.1316178,86467.06204724521,21.102979249360466,21.102999999999998,119.88742966048127,713532.9379527548
1743528474.4048097,85081.02602911725,21.103934561437956,21.104,119.85142544458674,714918.9739708827
1743528475.6819267,83460.97000238662,21.10517361118611,21.105,119.83412139575792,716539.0299976134
1743528476.9610841,82796.03898034115,21.105867841483693,21.105999999999998,119.8168961582873,717203.9610196588
1743528478.2351308,81466.41549618678,21.107151915176853,21.107,119.7995519841931,718533.5845038132
1743528479.5110252,80873.09912549792,21.107749212228825,21.108,119.76524413045308,719126.900874502
1743528480.7918785,79715.74119771333,21.10921273351689,21.108999999999998,119.74771217041369,720284.2588022867
1743528482.0719745,79613.18872389078,21.1099819105997,21.11,120.25668305471957,720386.8112761092
