time,bda_vert_size,bda_vert_size_user_setpoint,tetramm_1_current_1,ring_current
1743273500.924177,0.9712500000000001,0.971,-32.607301477397506,109.79244918493416
1743273503.2041094,0.9722500000000001,0.972,-32.58051169195086,109.75888690868405
1743273505.4862297,0.9732500000000001,0.973,-32.54624770386386,109.69003092563794
1743273507.9112418,0.9743600000000001,0.974,-32.54824892959184,109.64129537133333
1743273510.3047547,0.9752400000000001,0.975,-32.51343755442016,109.6079545683719
1743273512.687104,0.9762700000000001,0.976,-32.56480612249922,109.55897106350884
1743273514.9684293,0.9772500000000001,0.977,-32.50275173610184,109.54042801119581
1743273517.454785,0.9782700000000001,0.978,-32.508513752465554,109.5071904244327
1743273519.734038,0.9792700000000001,0.979,-32.54105035735652,109.45831369733196
1743273522.2251525,0.9802500000000001,0.98,-32.550963814583795,109.42562434609799
1743273524.5109427,0.9812600000000001,0.981,-32.65578561053846,109.28753328418021
1743273527.0024898,0.9822700000000001,0.982,-32.528199424961485,109.25501379960842
1743273529.2863536,0.9832400000000001,0.983,-32.66080029603187,109.22204209509002
1743273531.7710564,0.9842400000000001,0.984,-32.678317874662945,109.17268951380595
1743273534.1504045,0.9852600000000001,0.985,-32.64735578983559,109.14021443777654
1743273536.6406357,0.9862500000000001,0.986,-32.6944829274486,109.27537717257351
1743273538.9626641,0.98733,0.987,-32.6970181312147,109.24241906941539
1743273541.3638296,0.9882900000000001,0.988,-32.658567838742776,109.2095039727797
1743273543.6393867,0.9892500000000001,0.989,-32.692615792187986,109.16056708768446
1743273546.0247822,0.9902500000000001,0.99,-32.688386876832205,109.22789007978423
1743273548.3060153,0.99126,0.991,-32.61212247666058,109.19476071473318
1743273550.8020504,0.9922500000000001,0.992,-32.59359385590678,109.1458030273474
1743273553.0807846,0.99326,0.993,-32.59735554047913,109.11332079096239
1743273555.5720668,0.9942400000000001,0.994,-32.62704793757178,109.19515772799696
1743273557.9624178,0.9952400000000001,0.995,-32.68854391166833,109.16278946579017
1743273560.3517,0.9962500000000001,0.996,-32.78109404604619,109.13061038968188
1743273562.7701075,0.9973600000000001,0.997,-32.72030904940473,109.081447716986
1743273565.151697,0.9982400000000001,0.998,-32.58182220278305,109.15569587428081
1743273567.4337559,0.9992400000000001,0.999,-32.59804565941692,109.12362289255911
1743273569.9220314,1.00025,1.0,-32.543265531874134,109.07503141668603
1743273572.1973505,1.00122,1.001,-32.54427419016593,109.04117675791267
1743273574.478487,1.00224,1.002,-32.51696353774918,109.00958464318641
1743273576.791276,1.0032800000000002,1.0030000000000001,-32.55082674432848,109.04557566761393
1743273579.1799955,1.00424,1.004,-32.61842919829969,109.0125731637494
1743273581.5623875,1.00523,1.005,-32.628401953311666,108.96311809589108
1743273584.0535636,1.0062300000000002,1.006,-32.55259614253762,108.92998369624006
1743273586.3682652,1.0073100000000001,1.0070000000000001,-32.53905479322614,108.87738465009856
1743273588.534955,1.00821,1.008,-32.5700395244434,108.82872865387205
1743273590.9205506,1.0092100000000002,1.009,-32.45741127946915,108.79648293628614
1743273593.2332518,1.0103,1.01,-32.574919523512115,108.76380148109132
1743273595.729531,1.01123,1.011,-32.69328922431209,108.91405864272573
1743273598.0086448,1.01221,1.012,-32.8148493842942,108.88183656640076
